surfactant,temperature_(degC),composition_(wt%),observed_phase,tail_length_calculated_(A),tail_volume_calculated_(A^3),head_area_calculated_(A^2),AL/V_calculated,shape_identifier_(0-L/1-V/2-Y),phase_diagram_reference
(C6)2GE8Me,5,0.2,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.25,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.3,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.35,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.4,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.45,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.5,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.55,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.6,La,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.65,La,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.7,La,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.75,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.8,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.85,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.9,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.95,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,1,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.05,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.1,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.15,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.2,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.25,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.3,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.35,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.4,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.45,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.5,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.55,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.6,La,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.65,La,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.7,La,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.75,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.8,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.85,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.9,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,0.95,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,10,1,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.05,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.1,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.15,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.2,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.25,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.3,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.35,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.4,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.45,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.5,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.55,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.6,La,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.65,La,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.7,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.75,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.8,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.85,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.9,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,0.95,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,15,1,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.05,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.1,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.15,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.2,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.25,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.3,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.35,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.4,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.45,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.5,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.55,La,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.6,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.65,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.7,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.75,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.8,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.85,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.9,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,0.95,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,20,1,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.05,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.1,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.15,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.2,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.25,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.3,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.35,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.4,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.45,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.5,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.55,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.6,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.65,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.7,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.75,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.8,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.85,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.9,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,0.95,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,25,1,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.05,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.1,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.15,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.2,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.25,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.3,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.35,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.4,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.45,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.5,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.55,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.6,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.65,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.7,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.75,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.8,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.85,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.9,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,0.95,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,30,1,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.05,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.1,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.15,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.2,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.25,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.3,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.35,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.4,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.45,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.5,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.55,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.6,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.65,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.7,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.75,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.8,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.85,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.9,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,0.95,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,35,1,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.05,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.1,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.15,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.2,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.25,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.3,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.35,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.4,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.45,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.5,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.55,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.6,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.65,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.7,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.75,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.8,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.85,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.9,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,0.95,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,40,1,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.05,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.1,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.15,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.2,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.25,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.3,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.35,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.4,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.45,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.5,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.55,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.6,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.65,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.7,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.75,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.8,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.85,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.9,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,0.95,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,45,1,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.05,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.1,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.15,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.2,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.25,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.3,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.35,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.4,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.45,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.5,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.55,Water + L,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.6,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.65,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.7,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.75,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.8,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.85,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,50,0.9,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
